date,new_cases_rolling_average,new_deaths_rolling_average
2020-05-05,803.4285714285714,152.71428571428572
2020-05-06,803.4285714285714,152.71428571428572
2020-05-07,803.4285714285714,152.71428571428572
2020-05-08,803.4285714285714,152.71428571428572
2020-05-09,803.4285714285714,152.71428571428572
2020-05-10,803.4285714285714,152.71428571428572
2020-05-11,771.1428571428571,87.42857142857143
2020-05-12,771.1428571428571,87.42857142857143
2020-05-13,771.1428571428571,87.42857142857143
2020-05-14,771.1428571428571,87.42857142857143
2020-05-15,771.1428571428571,87.42857142857143
2020-05-16,771.1428571428571,87.42857142857143
2020-05-17,771.1428571428571,87.42857142857143
2020-05-18,627.7142857142857,64.57142857142857
2020-05-19,627.7142857142857,64.57142857142857
2020-05-20,627.7142857142857,64.57142857142857
2020-05-21,627.7142857142857,64.57142857142857
2020-05-22,627.7142857142857,64.57142857142857
2020-05-23,627.7142857142857,64.57142857142857
2020-05-24,627.7142857142857,64.57142857142857
2020-05-25,545.4285714285714,48.285714285714285
2020-05-26,545.4285714285714,48.285714285714285
2020-05-27,545.4285714285714,48.285714285714285
2020-05-28,545.4285714285714,48.285714285714285
2020-05-29,545.4285714285714,48.285714285714285
2020-05-30,545.4285714285714,48.285714285714285
2020-05-31,545.4285714285714,48.285714285714285
2020-06-01,432.7142857142857,34.285714285714285
2020-06-02,432.7142857142857,34.285714285714285
2020-06-03,432.7142857142857,34.285714285714285
2020-06-04,432.7142857142857,34.285714285714285
2020-06-05,432.7142857142857,34.285714285714285
2020-06-06,432.7142857142857,34.285714285714285
2020-06-07,432.7142857142857,34.285714285714285
2020-06-08,337.14285714285717,22.857142857142858
2020-06-09,337.14285714285717,22.857142857142858
2020-06-10,337.14285714285717,22.857142857142858
2020-06-11,337.14285714285717,22.857142857142858
2020-06-12,337.14285714285717,22.857142857142858
2020-06-13,337.14285714285717,22.857142857142858
2020-06-14,337.14285714285717,22.857142857142858
2020-06-15,315.57142857142856,16.142857142857142
2020-06-16,315.57142857142856,16.142857142857142
2020-06-17,315.57142857142856,16.142857142857142
2020-06-18,315.57142857142856,16.142857142857142
2020-06-19,315.57142857142856,16.142857142857142
2020-06-20,315.57142857142856,16.142857142857142
2020-06-21,315.57142857142856,16.142857142857142
2020-06-22,336.14285714285717,8.142857142857142
2020-06-23,336.14285714285717,8.142857142857142
2020-06-24,336.14285714285717,8.142857142857142
2020-06-25,336.14285714285717,8.142857142857142
2020-06-26,336.14285714285717,8.142857142857142
2020-06-27,336.14285714285717,8.142857142857142
2020-06-28,336.14285714285717,8.142857142857142
2020-06-29,400.85714285714283,6.857142857142857
2020-06-30,400.85714285714283,6.857142857142857
2020-07-01,400.85714285714283,6.857142857142857
2020-07-02,400.85714285714283,6.857142857142857
2020-07-03,400.85714285714283,6.857142857142857
2020-07-04,400.85714285714283,6.857142857142857
2020-07-05,400.85714285714283,6.857142857142857
2020-07-06,695.1428571428571,4.142857142857143
2020-07-07,695.1428571428571,4.142857142857143
2020-07-08,695.1428571428571,4.142857142857143
2020-07-09,695.1428571428571,4.142857142857143
2020-07-10,695.1428571428571,4.142857142857143
2020-07-11,695.1428571428571,4.142857142857143
2020-07-12,695.1428571428571,4.142857142857143
2020-07-13,1462.142857142857,3.0
2020-07-14,1462.142857142857,3.0
2020-07-15,1462.142857142857,3.0
2020-07-16,1462.142857142857,3.0
2020-07-17,1462.142857142857,3.0
2020-07-18,1462.142857142857,3.0
2020-07-19,1462.142857142857,3.0
2020-07-20,2072.4285714285716,7.285714285714286
2020-07-21,2072.4285714285716,7.285714285714286
2020-07-22,2072.4285714285716,7.285714285714286
2020-07-23,2072.4285714285716,7.285714285714286
2020-07-24,2072.4285714285716,7.285714285714286
2020-07-25,2072.4285714285716,7.285714285714286
2020-07-26,2072.4285714285716,7.285714285714286
2020-07-27,2903.0,12.857142857142858
2020-07-28,2903.0,12.857142857142858
2020-07-29,2903.0,12.857142857142858
2020-07-30,2903.0,12.857142857142858
2020-07-31,2903.0,12.857142857142858
2020-08-01,2903.0,12.857142857142858
2020-08-02,2903.0,12.857142857142858
2020-08-03,4043.0,21.0
2020-08-04,4043.0,21.0
2020-08-05,4043.0,21.0
2020-08-06,4043.0,21.0
2020-08-07,4043.0,21.0
2020-08-08,4043.0,21.0
2020-08-09,4043.0,21.0
2020-08-10,5731.857142857143,29.142857142857142
2020-08-11,5731.857142857143,29.142857142857142
2020-08-12,5731.857142857143,29.142857142857142
2020-08-13,5731.857142857143,29.142857142857142
2020-08-14,5731.857142857143,29.142857142857142
2020-08-15,5731.857142857143,29.142857142857142
2020-08-16,5731.857142857143,29.142857142857142
2020-08-17,7437.428571428572,44.0
2020-08-18,7437.428571428572,44.0
2020-08-19,7437.428571428572,44.0
2020-08-20,7437.428571428572,44.0
2020-08-21,7437.428571428572,44.0
2020-08-22,7437.428571428572,44.0
2020-08-23,7437.428571428572,44.0
2020-08-24,8725.714285714286,56.285714285714285
2020-08-25,8725.714285714286,56.285714285714285
2020-08-26,8725.714285714286,56.285714285714285
2020-08-27,8725.714285714286,56.285714285714285
2020-08-28,8725.714285714286,56.285714285714285
2020-08-29,8725.714285714286,56.285714285714285
2020-08-30,8725.714285714286,56.285714285714285
2020-08-31,9357.142857142857,72.85714285714286
2020-09-01,9357.142857142857,72.85714285714286
2020-09-02,9357.142857142857,72.85714285714286
2020-09-03,9357.142857142857,72.85714285714286
2020-09-04,9357.142857142857,72.85714285714286
2020-09-05,9357.142857142857,72.85714285714286
2020-09-06,9357.142857142857,72.85714285714286
2020-09-07,10581.857142857143,97.14285714285714
2020-09-08,10581.857142857143,97.14285714285714
2020-09-09,10581.857142857143,97.14285714285714
2020-09-10,10581.857142857143,97.14285714285714
2020-09-11,10581.857142857143,97.14285714285714
2020-09-12,10581.857142857143,97.14285714285714
2020-09-13,10581.857142857143,97.14285714285714
2020-09-14,11544.0,118.14285714285714
2020-09-15,11544.0,118.14285714285714
2020-09-16,11544.0,118.14285714285714
2020-09-17,11544.0,118.14285714285714
2020-09-18,11544.0,118.14285714285714
2020-09-19,11544.0,118.14285714285714
2020-09-20,11544.0,118.14285714285714
2020-09-21,10353.42857142857,125.71428571428571
2020-09-22,10353.42857142857,125.71428571428571
2020-09-23,10353.42857142857,125.71428571428571
2020-09-24,10353.42857142857,125.71428571428571
2020-09-25,10353.42857142857,125.71428571428571
2020-09-26,10353.42857142857,125.71428571428571
2020-09-27,10353.42857142857,125.71428571428571
2020-09-28,9304.714285714286,135.28571428571428
2020-09-29,9304.714285714286,135.28571428571428
2020-09-30,9304.714285714286,135.28571428571428
2020-10-01,9304.714285714286,135.28571428571428
2020-10-02,9304.714285714286,135.28571428571428
2020-10-03,9304.714285714286,135.28571428571428
2020-10-04,9304.714285714286,135.28571428571428
2020-10-05,11113.857142857143,134.85714285714286
2020-10-06,11113.857142857143,134.85714285714286
2020-10-07,11113.857142857143,134.85714285714286
2020-10-08,11113.857142857143,134.85714285714286
2020-10-09,11113.857142857143,134.85714285714286
2020-10-10,11113.857142857143,134.85714285714286
2020-10-11,11113.857142857143,134.85714285714286
2020-10-12,13021.57142857143,150.42857142857142
2020-10-13,13021.57142857143,150.42857142857142
2020-10-14,13021.57142857143,150.42857142857142
2020-10-15,13021.57142857143,150.42857142857142
2020-10-16,13021.57142857143,150.42857142857142
2020-10-17,13021.57142857143,150.42857142857142
2020-10-18,13021.57142857143,150.42857142857142
2020-10-19,19326.85714285714,198.14285714285714
2020-10-20,19326.85714285714,198.14285714285714
2020-10-21,19326.85714285714,198.14285714285714
2020-10-22,19326.85714285714,198.14285714285714
2020-10-23,19326.85714285714,198.14285714285714
2020-10-24,19326.85714285714,198.14285714285714
2020-10-25,19326.85714285714,198.14285714285714
2020-10-26,20696.714285714286,256.85714285714283
2020-10-27,20696.714285714286,256.85714285714283
2020-10-28,20696.714285714286,256.85714285714283
2020-10-29,20696.714285714286,256.85714285714283
2020-10-30,20696.714285714286,256.85714285714283
2020-10-31,20696.714285714286,256.85714285714283
2020-11-01,20696.714285714286,256.85714285714283
2020-11-02,19053.571428571428,329.14285714285717
2020-11-03,19053.571428571428,329.14285714285717
2020-11-04,19053.571428571428,329.14285714285717
2020-11-05,19053.571428571428,329.14285714285717
2020-11-06,19053.571428571428,329.14285714285717
2020-11-07,19053.571428571428,329.14285714285717
2020-11-08,19053.571428571428,329.14285714285717
2020-11-09,16013.0,334.85714285714283
2020-11-10,16013.0,334.85714285714283
2020-11-11,16013.0,334.85714285714283
2020-11-12,16013.0,334.85714285714283
2020-11-13,16013.0,334.85714285714283
2020-11-14,16013.0,334.85714285714283
2020-11-15,16013.0,334.85714285714283
2020-11-16,11604.57142857143,311.85714285714283
2020-11-17,11604.57142857143,311.85714285714283
2020-11-18,11604.57142857143,311.85714285714283
2020-11-19,11604.57142857143,311.85714285714283
2020-11-20,11604.57142857143,311.85714285714283
2020-11-21,11604.57142857143,311.85714285714283
2020-11-22,11604.57142857143,311.85714285714283
2020-11-23,8362.42857142857,267.57142857142856
2020-11-24,8362.42857142857,267.57142857142856
2020-11-25,8362.42857142857,267.57142857142856
2020-11-26,8362.42857142857,267.57142857142856
2020-11-27,8362.42857142857,267.57142857142856
2020-11-28,8362.42857142857,267.57142857142856
2020-11-29,8362.42857142857,267.57142857142856
2020-11-30,7243.285714285715,218.0
2020-12-01,7243.285714285715,218.0
2020-12-02,7243.285714285715,218.0
2020-12-03,7243.285714285715,218.0
2020-12-04,7243.285714285715,218.0
2020-12-05,7243.285714285715,218.0
2020-12-06,7243.285714285715,218.0
2020-12-07,7240.714285714285,194.28571428571428
2020-12-08,7240.714285714285,194.28571428571428
2020-12-09,7240.714285714285,194.28571428571428
2020-12-10,7240.714285714285,194.28571428571428
2020-12-11,7240.714285714285,194.28571428571428
2020-12-12,7240.714285714285,194.28571428571428
2020-12-13,7240.714285714285,194.28571428571428
2020-12-14,9770.285714285714,163.71428571428572
2020-12-15,9770.285714285714,163.71428571428572
2020-12-16,9770.285714285714,163.71428571428572
2020-12-17,9770.285714285714,163.71428571428572
2020-12-18,9770.285714285714,163.71428571428572
2020-12-19,9770.285714285714,163.71428571428572
2020-12-20,9770.285714285714,163.71428571428572
2020-12-21,9453.142857142857,167.42857142857142
2020-12-22,9453.142857142857,167.42857142857142
2020-12-23,9453.142857142857,167.42857142857142
2020-12-24,9453.142857142857,167.42857142857142
2020-12-25,9453.142857142857,167.42857142857142
2020-12-26,9453.142857142857,167.42857142857142
2020-12-27,9453.142857142857,167.42857142857142
2020-12-28,14135.857142857143,183.85714285714286
2020-12-29,14135.857142857143,183.85714285714286
2020-12-30,14135.857142857143,183.85714285714286
2020-12-31,14135.857142857143,183.85714285714286
2021-01-01,14135.857142857143,183.85714285714286
2021-01-02,14135.857142857143,183.85714285714286
2021-01-03,14135.857142857143,183.85714285714286
2021-01-04,22941.571428571428,225.28571428571428
